City,District,Region,State,Zip
"Ahsahka, ID",District #33,West,ID,83520
"Ahwahnee, CA",District #36,West,CA,93601
"Aiken, SC",District #11,East,SC,29801
"Aiken, SC",District #11,East,SC,29802
"Aiken, SC",District #11,East,SC,29803
"Aiken, SC",District #11,East,SC,29804
"Aiken, SC",District #11,East,SC,29805
"Aiken, SC",District #11,East,SC,29808
"Aiken, TX",District #22,Central,TX,79221
"Ailey, GA",District #11,East,GA,30410
"Aimwell, LA",District #24,Central,LA,71401
"Ainsworth, IA",District #27,Central,IA,52201
"Ainsworth, NE",District #30,Central,NE,69210
"Airville, PA",District #05,East,PA,17302
"Airway Heights, WA",District #33,West,WA,99001
"Aitkin, MN",District #28,Central,MN,56431
"Ajo, AZ",District #39,West,AZ,85321
"Akaska, SD",District #32,Central,SD,57420
"Akeley, MN",District #32,Central,MN,56433
"Akers, LA",District #24,Central,LA,70421
"Akiachak, AK",District #34,West,AK,99551
"Akiak, AK",District #34,West,AK,99552
"Akron, AL",District #24,Central,AL,35441
"Akron, CO",District #20,Central,CO,80720
"Akron, IA",District #32,Central,IA,51001
"Akron, IN",District #17,East,IN,46910
"Akron, MI",District #18,East,MI,48701
"Akron, NY",District #06,East,NY,14001
"Akron, OH",District #14,East,OH,44301
"Akron, OH",District #14,East,OH,44302
"Akron, OH",District #14,East,OH,44303
"Akron, OH",District #14,East,OH,44304
"Akron, OH",District #14,East,OH,44305
"Akron, OH",District #14,East,OH,44306
"Akron, OH",District #14,East,OH,44307
"Akron, OH",District #14,East,OH,44308
"Akron, OH",District #14,East,OH,44309
"Akron, OH",District #14,East,OH,44310
"Akron, OH",District #14,East,OH,44311
"Akron, OH",District #14,East,OH,44312
"Akron, OH",District #14,East,OH,44313
"Akron, OH",District #14,East,OH,44314
"Akron, OH",District #14,East,OH,44315
"Akron, OH",District #14,East,OH,44316
"Akron, OH",District #14,East,OH,44317
"Akron, OH",District #14,East,OH,44319
"Akron, OH",District #14,East,OH,44320
"Akron, OH",District #14,East,OH,44321
"Akron, OH",District #14,East,OH,44325
"Akron, OH",District #14,East,OH,44326
"Akron, OH",District #14,East,OH,44328
"Akron, OH",District #14,East,OH,44333
"Akron, OH",District #14,East,OH,44372
"Akron, OH",District #14,East,OH,44396
"Akron, OH",District #14,East,OH,44398
"Akron, OH",District #14,East,OH,44399
"Akron, PA",District #05,East,PA,17501
"Akutan, AK",District #34,West,AK,99553
"Alabaster, AL",District #19,East,AL,35007
"Alachua, FL",District #12,East,FL,32615
"Alachua, FL",District #12,East,FL,32616
"Aladdin, WY",District #32,Central,WY,82710
"Alakanuk, AK",District #34,West,AK,99554
"Alamance, NC",District #08,East,NC,27201
"Alameda, CA",District #36,West,CA,94501
"Alameda, CA",District #36,West,CA,94502
"Alamo, CA",District #36,West,CA,94507
"Alamo, GA",District #12,East,GA,30411
"Alamo, IN",District #17,East,IN,47916
"Alamo, ND",District #32,Central,ND,58830
"Alamo, NV",District #38,West,NV,89001
"Alamo, TN",District #25,Central,TN,38001
"Alamo, TX",District #23,Central,TX,78516
"Alamogordo, NM",District #39,West,NM,88310
"Alamogordo, NM",District #39,West,NM,88311
"Alamosa, CO",District #20,Central,CO,81101
"Alamosa, CO",District #20,Central,CO,81102
"Alanreed, TX",District #21,Central,TX,79002
"Alanson, MI",District #18,East,MI,49706
"Alapaha, GA",District #12,East,GA,31622
"Alaska Peninsula Nwr, AK",District #34,West,AK,00003
"Alba, MI",District #18,East,MI,49611
"Alba, MO",District #21,Central,MO,64830
"Alba, PA",District #06,East,PA,16910
"Alba, TX",District #24,Central,TX,75410
"Albany, CA",District #36,West,CA,94706
"Albany, GA",District #12,East,GA,31701
"Albany, GA",District #12,East,GA,31702
"Albany, GA",District #12,East,GA,31703
"Albany, GA",District #12,East,GA,31704
"Albany, GA",District #12,East,GA,31705
"Albany, GA",District #12,East,GA,31706
"Albany, GA",District #12,East,GA,31707
"Albany, GA",District #12,East,GA,31708
"Albany, GA",District #12,East,GA,31721
"Albany, IL",District #27,Central,IL,61230
"Albany, IN",District #17,East,IN,47320
"Albany, KY",District #19,East,KY,42602
"Albany, LA",District #24,Central,LA,70711
"Albany, MN",District #28,Central,MN,56307
"Albany, MO",District #30,Central,MO,64402
"Albany, NY",District #01,East,NY,12201
"Albany, NY",District #01,East,NY,12202
"Albany, NY",District #01,East,NY,12203
"Albany, NY",District #01,East,NY,12204
"Albany, NY",District #01,East,NY,12205
"Albany, NY",District #01,East,NY,12206
"Albany, NY",District #01,East,NY,12207
"Albany, NY",District #01,East,NY,12208
"Albany, NY",District #01,East,NY,12209
"Albany, NY",District #01,East,NY,12210
"Albany, NY",District #01,East,NY,12211
"Albany, NY",District #01,East,NY,12212
"Albany, NY",District #01,East,NY,12214
"Albany, NY",District #01,East,NY,12220
"Albany, NY",District #01,East,NY,12222
"Albany, NY",District #01,East,NY,12223
"Albany, NY",District #01,East,NY,12224
"Albany, NY",District #01,East,NY,12225
"Albany, NY",District #01,East,NY,12226
"Albany, NY",District #01,East,NY,12227
"Albany, NY",District #01,East,NY,12228
"Albany, NY",District #01,East,NY,12229
"Albany, NY",District #01,East,NY,12230
"Albany, NY",District #01,East,NY,12231
"Albany, NY",District #01,East,NY,12232
"Albany, NY",District #01,East,NY,12233
"Albany, NY",District #01,East,NY,12234
"Albany, NY",District #01,East,NY,12235
"Albany, NY",District #01,East,NY,12236
"Albany, NY",District #01,East,NY,12237
"Albany, NY",District #01,East,NY,12238
"Albany, NY",District #01,East,NY,12239
"Albany, NY",District #01,East,NY,12240
"Albany, NY",District #01,East,NY,12241
"Albany, NY",District #01,East,NY,12242
"Albany, NY",District #01,East,NY,12243
"Albany, NY",District #01,East,NY,12244
"Albany, NY",District #01,East,NY,12245
"Albany, NY",District #01,East,NY,12246
"Albany, NY",District #01,East,NY,12247
"Albany, NY",District #01,East,NY,12248
"Albany, NY",District #01,East,NY,12249
"Albany, NY",District #01,East,NY,12250
"Albany, NY",District #01,East,NY,12252
"Albany, NY",District #01,East,NY,12255
"Albany, NY",District #01,East,NY,12256
"Albany, NY",District #01,East,NY,12257
"Albany, NY",District #01,East,NY,12260
"Albany, NY",District #01,East,NY,12261
"Albany, NY",District #01,East,NY,12288
"Albany, OH",District #15,East,OH,45710
"Albany, OK",District #22,Central,OK,74721
"Albany, OR",District #34,West,OR,97321
"Albany, OR",District #34,West,OR,97322
"Albany, TX",District #22,Central,TX,76430
"Albany, WI",District #27,Central,WI,53502
"Albemarle, NC",District #11,East,NC,28001
"Albemarle, NC",District #11,East,NC,28002
"Albers, IL",District #29,Central,IL,62215
"Albert City, IA",District #32,Central,IA,50510
"Albert Lea, MN",District #28,Central,MN,56007
"Albert, KS",District #21,Central,KS,67511
"Albert, OK",District #22,Central,OK,73001
"Alberta, AL",District #09,East,AL,36720
"Alberta, MN",District #32,Central,MN,56207
"Alberta, VA",District #08,East,VA,23821
"Alberton, MT",District #33,West,MT,59820
"Albertson, NC",District #08,East,NC,28508
"Albertson, NY",District #03,East,NY,11507
"Albertville, AL",District #19,East,AL,35950
"Albertville, AL",District #19,East,AL,35951
"Albertville, MN",District #28,Central,MN,55301
"Albia, IA",District #29,Central,IA,52531
"Albin, WY",District #20,Central,WY,82050
"Albion, CA",District #35,West,CA,95410
"Albion, IA",District #30,Central,IA,50005
"Albion, ID",District #33,West,ID,83311
"Albion, IL",District #25,Central,IL,62806
"Albion, IN",District #16,East,IN,46701
"Albion, MI",District #18,East,MI,49224
"Albion, NE",District #30,Central,NE,68620
"Albion, NY",District #06,East,NY,14411
"Albion, OK",District #25,Central,OK,74521
"Albion, PA",District #06,East,PA,16401
"Albion, PA",District #06,East,PA,16475
"Albion, RI",District #02,East,RI,02802
"Albion, WA",District #33,West,WA,99102
"Alborn, MN",District #28,Central,MN,55702
"Albright, WV",District #13,East,WV,26519
"Albrightsville, PA",District #03,East,PA,18210
"Albuquerque, NM",District #39,West,NM,87101
"Albuquerque, NM",District #39,West,NM,87102
"Albuquerque, NM",District #39,West,NM,87103
"Albuquerque, NM",District #39,West,NM,87104
"Albuquerque, NM",District #39,West,NM,87105
"Albuquerque, NM",District #39,West,NM,87106
"Albuquerque, NM",District #39,West,NM,87107
"Albuquerque, NM",District #39,West,NM,87108
"Albuquerque, NM",District #39,West,NM,87109
"Albuquerque, NM",District #39,West,NM,87110
"Albuquerque, NM",District #39,West,NM,87111
"Albuquerque, NM",District #39,West,NM,87112
"Albuquerque, NM",District #39,West,NM,87113
"Albuquerque, NM",District #39,West,NM,87114
"Albuquerque, NM",District #39,West,NM,87115
"Albuquerque, NM",District #39,West,NM,87116
"Albuquerque, NM",District #39,West,NM,87119
"Albuquerque, NM",District #39,West,NM,87120
"Albuquerque, NM",District #39,West,NM,87121
"Albuquerque, NM",District #39,West,NM,87122
"Albuquerque, NM",District #39,West,NM,87123
"Albuquerque, NM",District #39,West,NM,87125
"Albuquerque, NM",District #39,West,NM,87131
"Albuquerque, NM",District #39,West,NM,87151
"Albuquerque, NM",District #39,West,NM,87153
"Albuquerque, NM",District #39,West,NM,87154
"Albuquerque, NM",District #39,West,NM,87158
"Albuquerque, NM",District #39,West,NM,87176
"Albuquerque, NM",District #39,West,NM,87181
"Albuquerque, NM",District #39,West,NM,87184
"Albuquerque, NM",District #39,West,NM,87185
"Albuquerque, NM",District #39,West,NM,87187
"Albuquerque, NM",District #39,West,NM,87190
"Albuquerque, NM",District #39,West,NM,87191
"Albuquerque, NM",District #39,West,NM,87192
"Albuquerque, NM",District #39,West,NM,87193
"Albuquerque, NM",District #39,West,NM,87194
"Albuquerque, NM",District #39,West,NM,87195
"Albuquerque, NM",District #39,West,NM,87196
"Albuquerque, NM",District #39,West,NM,87197
"Albuquerque, NM",District #39,West,NM,87198
"Albuquerque, NM",District #39,West,NM,87199
"Alburgh, VT",District #01,East,VT,05440
"Alburnett, IA",District #27,Central,IA,52202
"Alburtis, PA",District #03,East,PA,18011
"Alcalde, NM",District #39,West,NM,87511
"Alcester, SD",District #32,Central,SD,57001
"Alcoa, TN",District #19,East,TN,37701
"Alcolu, SC",District #11,East,SC,29001
"Alcova, WY",District #32,Central,WY,82620
"Alcove, NY",District #01,East,NY,12007
"Alda, NE",District #30,Central,NE,68810
"Alden, IA",District #30,Central,IA,50006
"Alden, IL",District #31,Central,IL,60001
"Alden, KS",District #21,Central,KS,67512
"Alden, MI",District #18,East,MI,49612
"Alden, MN",District #28,Central,MN,56009
"Alden, NY",District #06,East,NY,14004
"Alder Creek, NY",District #01,East,NY,13301
"Alder, MT",District #33,West,MT,59710
"Alderpoint, CA",District #35,West,CA,95511
"Alderson, OK",District #21,Central,OK,74522
"Alderson, WV",District #15,East,WV,24910
"Aldie, VA",District #07,East,VA,20105
"Aldrich, MN",District #32,Central,MN,56434
"Aldrich, MO",District #21,Central,MO,65601
"Aledo, IL",District #27,Central,IL,61231
"Aledo, TX",District #22,Central,TX,76008
"Aleknagik, AK",District #34,West,AK,99555
"Aleppo, PA",District #15,East,PA,15310
"Alex, OK",District #21,Central,OK,73002
"Alexander City, AL",District #09,East,AL,35010
"Alexander City, AL",District #09,East,AL,35011
"Alexander, AR",District #25,Central,AR,72002
"Alexander, IA",District #28,Central,IA,50420
"Alexander, IL",District #29,Central,IL,62601
"Alexander, KS",District #21,Central,KS,67513
"Alexander, NC",District #11,East,NC,28701
"Alexander, ND",District #32,Central,ND,58831
"Alexander, NY",District #06,East,NY,14005
"Alexandria Bay, NY",District #01,East,NY,13607
"Alexandria, AL",District #09,East,AL,36250
"Alexandria, IN",District #17,East,IN,46001
"Alexandria, KY",District #16,East,KY,41001
"Alexandria, LA",District #24,Central,LA,71301
"Alexandria, LA",District #24,Central,LA,71302
"Alexandria, LA",District #24,Central,LA,71303
"Alexandria, LA",District #24,Central,LA,71306
"Alexandria, LA",District #24,Central,LA,71307
"Alexandria, LA",District #24,Central,LA,71309
"Alexandria, LA",District #24,Central,LA,71315
"Alexandria, MN",District #32,Central,MN,56308
"Alexandria, MO",District #29,Central,MO,63430
"Alexandria, NE",District #30,Central,NE,68303
"Alexandria, OH",District #15,East,OH,43001
"Alexandria, PA",District #13,East,PA,16611
"Alexandria, SD",District #32,Central,SD,57311
"Alexandria, TN",District #19,East,TN,37012
"Alexandria, VA",District #07,East,VA,22301
"Alexandria, VA",District #07,East,VA,22302
"Alexandria, VA",District #07,East,VA,22303
"Alexandria, VA",District #07,East,VA,22304
"Alexandria, VA",District #07,East,VA,22305
"Alexandria, VA",District #07,East,VA,22306
"Alexandria, VA",District #07,East,VA,22307
"Alexandria, VA",District #07,East,VA,22308
"Alexandria, VA",District #07,East,VA,22309
"Alexandria, VA",District #07,East,VA,22310
"Alexandria, VA",District #07,East,VA,22311
"Alexandria, VA",District #07,East,VA,22312
"Alexandria, VA",District #07,East,VA,22313
"Alexandria, VA",District #07,East,VA,22314
"Alexandria, VA",District #07,East,VA,22315
"Alexandria, VA",District #07,East,VA,22320
"Alexandria, VA",District #07,East,VA,22331
"Alexandria, VA",District #07,East,VA,22332
"Alexandria, VA",District #07,East,VA,22333
"Alexandria, VA",District #07,East,VA,22334
"Alexandria, VA",District #07,East,VA,22336
"Alexandria, VA",District #07,East,VA,22350
"Alexis, IL",District #29,Central,IL,61412
"Alexis, NC",District #11,East,NC,28006
"Alford, FL",District #09,East,FL,32420
"Alfred Station, NY",District #06,East,NY,14803
"Alfred, NY",District #06,East,NY,14802
"Alger, MI",District #18,East,MI,48610
"Alger, OH",District #16,East,OH,45812
"Algodones, NM",District #39,West,NM,87001
"Algoma, MS",District #25,Central,MS,38820
"Algoma, WI",District #26,Central,WI,54201
"Algona, IA",District #28,Central,IA,50511
"Algonac, MI",District #18,East,MI,48001
"Algonquin, IL",District #31,Central,IL,60102
"Alhambra, CA",District #37,West,CA,91801
"Alhambra, CA",District #37,West,CA,91802
"Alhambra, CA",District #37,West,CA,91803
"Alhambra, CA",District #37,West,CA,91804
"Alhambra, CA",District #37,West,CA,91896
"Alhambra, CA",District #37,West,CA,91899
"Alhambra, IL",District #29,Central,IL,62001
"Alice, TX",District #23,Central,TX,78332
"Alice, TX",District #23,Central,TX,78333
"Aliceville, AL",District #24,Central,AL,35442
"Alicia, AR",District #25,Central,AR,72410
"Alief, TX",District #23,Central,TX,77411
"Aline, OK",District #21,Central,OK,73716
"Aliquippa, PA",District #13,East,PA,15001
"Aliso Viejo, CA",District #37,West,CA,92656
"Aliso Viejo, CA",District #37,West,CA,92698
"Alix, AR",District #25,Central,AR,72820
"Alkol, WV",District #15,East,WV,25501
"Allakaket, AK",District #34,West,AK,99720
"Allamuchy, NJ",District #03,East,NJ,07820
"Allardt, TN",District #19,East,TN,38504
"Alledonia, OH",District #15,East,OH,43902
"Alleene, AR",District #25,Central,AR,71820
"Allegan, MI",District #18,East,MI,49010
"Allegany, NY",District #06,East,NY,14706
"Allegany, OR",District #35,West,OR,97407
"Alleghany, CA",District #35,West,CA,95910
"Alleman, IA",District #30,Central,IA,50007
"Allen Junction, WV",District #15,East,WV,25810
"Allen Park, MI",District #18,East,MI,48101
"Allen, KS",District #30,Central,KS,66833
"Allen, KY",District #19,East,KY,41601
"Allen, MD",District #05,East,MD,21810
"Allen, MI",District #18,East,MI,49227
"Allen, NE",District #32,Central,NE,68710
"Allen, OK",District #21,Central,OK,74825
"Allen, SD",District #32,Central,SD,57714
"Allen, TX",District #22,Central,TX,75002
"Allen, TX",District #22,Central,TX,75013
"Allendale, IL",District #25,Central,IL,62410
"Allendale, MI",District #18,East,MI,49401
"Allendale, MO",District #30,Central,MO,64420
"Allendale, NJ",District #03,East,NJ,07401
"Allendale, SC",District #11,East,SC,29810
"Allenhurst, GA",District #11,East,GA,31301
"Allenhurst, NJ",District #04,East,NJ,07711
"Allenport, PA",District #13,East,PA,15412
"Allenspark, CO",District #20,Central,CO,80510
"Allensville, KY",District #19,East,KY,42204
"Allensville, PA",District #06,East,PA,17002
"Allenton, MI",District #18,East,MI,48002
"Allenton, WI",District #26,Central,WI,53002
"Allentown, GA",District #09,East,GA,31003
"Allentown, NJ",District #04,East,NJ,08501
"Allentown, NY",District #06,East,NY,14707
"Allentown, PA",District #03,East,PA,18101
"Allentown, PA",District #03,East,PA,18102
"Allentown, PA",District #03,East,PA,18104
"Allentown, PA",District #03,East,PA,18105
"Allentown, PA",District #03,East,PA,18109
"Allentown, PA",District #04,East,PA,18103
"Allentown, PA",District #04,East,PA,18106
"Allentown, PA",District #04,East,PA,18195
"Allenwood, NJ",District #04,East,NJ,08720
"Allenwood, PA",District #06,East,PA,17810
"Allerton, IA",District #30,Central,IA,50008
"Allerton, IL",District #17,East,IL,61810
"Alleyton, TX",District #23,Central,TX,78935
"Allgood, AL",District #19,East,AL,35013
"Alliance, NC",District #08,East,NC,28509
"Alliance, NE",District #20,Central,NE,69301
"Alliance, OH",District #14,East,OH,44601
"Alligator, MS",District #25,Central,MS,38720
"Allison Park, PA",District #13,East,PA,15101
"Allison, IA",District #27,Central,IA,50602
"Allison, PA",District #13,East,PA,15413
"Allison, TX",District #21,Central,TX,79003
"Allons, TN",District #19,East,TN,38541
"Allouez, MI",District #26,Central,MI,49805
"Alloway, NJ",District #04,East,NJ,08001
"Alloy, WV",District #15,East,WV,25002
"Allport, PA",District #13,East,PA,16821
"Allred, TN",District #19,East,TN,38542
"Allyn, WA",District #34,West,WA,98524
"Alma Center, WI",District #26,Central,WI,54611
"Alma, AR",District #25,Central,AR,72921
"Alma, CO",District #20,Central,CO,80420
"Alma, GA",District #12,East,GA,31510
"Alma, IL",District #25,Central,IL,62807
"Alma, KS",District #30,Central,KS,66401
"Alma, MI",District #18,East,MI,48801
"Alma, MI",District #18,East,MI,48802
"Alma, MO",District #30,Central,MO,64001
"Alma, NE",District #30,Central,NE,68920
"Alma, NY",District #06,East,NY,14708
"Alma, WI",District #26,Central,WI,54610
"Alma, WV",District #13,East,WV,26320
"Almelund, MN",District #28,Central,MN,55002
"Almena, KS",District #21,Central,KS,67622
"Almena, WI",District #28,Central,WI,54805
"Almira, WA",District #33,West,WA,99103
"Almo, ID",District #33,West,ID,83312
"Almo, KY",District #25,Central,KY,42020
"Almond, NC",District #19,East,NC,28702
"Almond, NY",District #06,East,NY,14804
"Almond, WI",District #26,Central,WI,54909
"Almont, CO",District #20,Central,CO,81210
"Almont, MI",District #18,East,MI,48003
"Almont, ND",District #32,Central,ND,58520
"Almyra, AR",District #25,Central,AR,72003
"Alpaugh, CA",District #36,West,CA,93201
"Alpena, AR",District #21,Central,AR,72611
"Alpena, MI",District #18,East,MI,49707
"Alpena, SD",District #32,Central,SD,57312
"Alpha, IL",District #29,Central,IL,61413
"Alpha, KY",District #19,East,KY,42603
"Alpha, MI",District #26,Central,MI,49902
"Alpha, MN",District #28,Central,MN,56111
"Alpha, OH",District #16,East,OH,45301
"Alpharetta, GA",District #09,East,GA,30004
"Alpharetta, GA",District #09,East,GA,30005
"Alpharetta, GA",District #09,East,GA,30009
"Alpharetta, GA",District #09,East,GA,30022
"Alpharetta, GA",District #09,East,GA,30023
"Alpine, AL",District #09,East,AL,35014
"Alpine, AR",District #25,Central,AR,71920
"Alpine, AZ",District #39,West,AZ,85920
"Alpine, CA",District #38,West,CA,91901
"Alpine, CA",District #38,West,CA,91903
"Alpine, NJ",District #03,East,NJ,07620
"Alpine, NY",District #01,East,NY,14805
"Alpine, TN",District #19,East,TN,38543
"Alpine, TX",District #22,Central,TX,79830
"Alpine, TX",District #22,Central,TX,79831
"Alpine, TX",District #22,Central,TX,79832
"Alpine, UT",District #33,West,UT,84004
"Alpine, WY",District #33,West,WY,83128
"Alplaus, NY",District #01,East,NY,12008
"Alsea, OR",District #35,West,OR,97324
"Alsen, ND",District #32,Central,ND,58311
"Alsey, IL",District #29,Central,IL,62610
